"rank","item","obs","au","np"
"1","1","-258.5","1","1"
"2","2","343","6E-07","3E-07"
"3","3","258.5","7E-08","3E-06"
"4","4","338.1","2E-05","7E-06"
"5","5","328.3","1E-06","5E-07"
"6","6","330.2","3E-09","2E-07"
"7","7","308","1E-33","2E-14"
