"rank","item","obs","au","np"
"1","1","-258.5","1","1"
"2","2","343","0","8E-21"
"3","3","258.5","0","3E-20"
"4","4","338.1","6E-45","8E-16"
"5","5","328.3","5E-41","1E-15"
"6","6","330.2","1E-16","1E-08"
"7","7","308","4E-05","3E-06"
