"rank","item","obs","au","np"
"1","1","-258.5","1","1"
"2","2","343","0","2E-20"
"3","3","258.5","2E-41","2E-15"
"4","4","338.1","8E-10","8E-07"
"5","5","328.3","5E-40","1E-14"
"6","6","330.2","5E-36","2E-14"
"7","7","308","2E-09","1E-07"
