"rank","item","obs","au","np"
"1","1","-258.5","1","1"
"2","2","343","1E-05","1E-06"
"3","3","258.5","6E-07","5E-06"
"4","4","338.1","3E-08","5E-07"
"5","5","328.3","2E-05","6E-07"
"6","6","330.2","3E-08","2E-07"
"7","7","308","6E-06","2E-06"
