"rank","item","obs","au","np"
"1","1","-0","0.673","0.508"
"2","2","1.7","0.434","0.462"
"3","3","0","0.652","0.51"
"4","4","1.7","0.436","0.461"
"5","5","1.7","0.437","0.461"
