"rank","item","obs","au","np"
"1","1","-0","0.544","0.25"
"2","2","1.7","0.422","0.459"
"3","3","0","0.513","0.297"
"4","4","1.7","0.423","0.459"
"5","5","1.7","0.424","0.459"
