"rank","item","obs","au","np"
"1","1","-0","0.539","0.249"
"2","2","1.7","0.418","0.459"
"3","3","0","0.523","0.298"
"4","4","1.7","0.418","0.459"
"5","5","1.7","0.417","0.459"
