"rank","item","obs","au","np"
"1","1","-0","0.545","0.249"
"2","2","1.7","0.406","0.459"
"3","3","0","0.53","0.299"
"4","4","1.7","0.406","0.458"
"5","5","1.7","0.407","0.458"
