"rank","item","obs","au","np"
"1","1","-0","0.555","0.25"
"2","2","1.7","0.415","0.462"
"3","3","0","0.511","0.295"
"4","4","1.7","0.414","0.462"
"5","5","1.7","0.415","0.461"
