"rank","item","obs","au","np"
"1","1","-0","0.543","0.25"
"2","2","1.7","0.411","0.124"
"3","3","0","0.525","0.297"
"4","4","1.7","0.412","0.459"
"5","5","1.7","0.413","0.459"
