"rank","item","obs","au","np"
"1","1","-12.3","0.789","0.651"
"2","2","12.3","0.242","0.126"
"3","3","16.4","0.282","0.226"
"4","4","272.4","0","3E-16"
"5","5","267.7","0.0003","3E-06"
"6","6","352.6","0","1E-17"
"7","7","198.3","1E-05","9E-07"
"8","8","182.5","5E-06","5E-06"
"9","9","132.1","3E-06","9E-06"
