"rank","item","obs","au","np"
"1","1","-12.3","0.818","0.653"
"2","2","12.3","0.22","0.126"
"3","3","16.4","0.255","0.224"
"4","4","272.4","0.0003","9E-07"
"5","5","267.7","0.0004","3E-08"
"6","6","352.6","0","3E-17"
"7","7","198.3","0","3E-20"
"8","8","182.5","3E-05","8E-06"
"9","9","132.1","7E-21","2E-10"
