"rank","item","obs","au","np"
"1","1","-12.3","0.808","0.652"
"2","2","12.3","0.224","0.126"
"3","3","16.4","0.267","0.224"
"4","4","272.4","3E-06","6E-07"
"5","5","267.7","0","5E-18"
"6","6","352.6","4E-05","2E-05"
"7","7","198.3","0.0004","4E-06"
"8","8","182.5","0","5E-18"
"9","9","132.1","0.001","0.0002"
