"rank","item","obs","au","np"
"1","1","-12.3","0.796","0.651"
"2","2","12.3","0.216","0.126"
"3","3","16.4","0.292","0.225"
"4","4","272.4","3E-05","6E-07"
"5","5","267.7","4E-26","5E-13"
"6","6","352.6","4E-13","2E-08"
"7","7","198.3","4E-41","1E-15"
"8","8","182.5","9E-08","4E-07"
"9","9","132.1","4E-07","2E-06"
