"rank","item","obs","au","np"
"1","1","-12.3","0.825","0.656"
"2","2","12.3","0.201","0.123"
"3","3","16.4","0.26","0.223"
"4","4","272.4","0","4E-19"
"5","5","267.7","0.001","2E-07"
"6","6","352.6","0","3E-21"
"7","7","198.3","4E-06","2E-07"
"8","8","182.5","7E-44","6E-16"
"9","9","132.1","1E-05","8E-06"
