"rank","item","obs","au","np"
"1","1","-12.3","0.81","0.654"
"2","2","12.3","0.21","0.125"
"3","3","16.4","0.274","0.223"
"4","4","272.4","0","2E-17"
"5","5","267.7","0","2E-16"
"6","6","352.6","0","4E-18"
"7","7","198.3","0","6E-20"
"8","8","182.5","0.0002","6E-06"
"9","9","132.1","0.0002","5E-05"
