"rank","item","obs","au","np"
"1","1","1.7","0.514","0.143"
"2","2","1.7","0.686","0.256"
"3","3","7.1","0.365","0.053"
"4","4","1.7","0.686","0.256"
"5","5","1.7","0.687","0.256"
"6","6","2.5","0.56","0.097"
"7","7","1.7","0.689","0.256"
"8","8","6.4","0.432","0.089"
"9","9","1.7","0.517","0.143"
"10","10","0","0.752","0.302"
"11","11","1.7","0.688","0.255"
"12","12","7.1","0.363","0.053"
"13","13","1.7","0.686","0.255"
"14","14","-0","0.753","0.301"
"15","15","2.5","0.558","0.097"
"16","16","1.7","0.515","0.143"
"17","17","38.3","0.029","0.006"
"18","18","25.1","0.057","0.007"
"19","19","28.6","0.013","0.0005"
"20","20","38.2","0.008","0.003"
"21","21","35.6","0.021","0.004"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.024","0.003"
"24","24","47.5","0.031","0.011"
"25","25","50","0.001","0.001"
"26","26","27.9","0.026","0.005"
"27","27","27.1","0.09","0.01"
"28","28","34","0.005","0.0002"
"29","29","32.3","0.068","0.008"
"30","30","31.1","0.059","0.004"
"31","31","22.3","0.086","0.007"
"32","32","34.4","0.013","0.001"
