"rank","item","obs","au","np"
"1","1","1.7","0.481","0.055"
"2","2","1.7","0.679","0.243"
"3","3","7.1","0.381","0.05"
"4","4","1.7","0.68","0.243"
"5","5","1.7","0.68","0.243"
"6","6","2.5","0.576","0.103"
"7","7","1.7","0.681","0.243"
"8","8","6.4","0.434","0.087"
"9","9","1.7","0.507","0.151"
"10","10","0","0.744","0.304"
"11","11","1.7","0.679","0.243"
"12","12","7.1","0.381","0.05"
"13","13","1.7","0.677","0.243"
"14","14","-0","0.744","0.303"
"15","15","2.5","0.574","0.102"
"16","16","1.7","0.506","0.151"
"17","17","38.3","0.029","0.005"
"18","18","25.1","0.09","0.008"
"19","19","28.6","0.012","0.001"
"20","20","38.2","0.002","0.002"
"21","21","35.6","0.022","0.005"
"22","22","49.2","0.003","0.0002"
"23","23","35.3","0.024","0.003"
"24","24","47.5","0.034","0.01"
"25","25","50","0.01","0.001"
"26","26","27.9","0.026","0.004"
"27","27","27.1","0.12","0.012"
"28","28","34","0.014","0.0003"
"29","29","32.3","0.057","0.009"
"30","30","31.1","0.049","0.004"
"31","31","22.3","0.066","0.006"
"32","32","34.4","0.014","0.001"
