"rank","item","obs","au","np"
"1","1","1.7","0.501","0.15"
"2","2","1.7","0.676","0.247"
"3","3","7.1","0.345","0.049"
"4","4","1.7","0.676","0.247"
"5","5","1.7","0.677","0.247"
"6","6","2.5","0.55","0.095"
"7","7","1.7","0.675","0.248"
"8","8","6.4","0.436","0.089"
"9","9","1.7","0.498","0.15"
"10","10","0","0.762","0.307"
"11","11","1.7","0.674","0.247"
"12","12","7.1","0.343","0.049"
"13","13","1.7","0.673","0.247"
"14","14","-0","0.761","0.306"
"15","15","2.5","0.551","0.095"
"16","16","1.7","0.5","0.15"
"17","17","38.3","0.028","0.005"
"18","18","25.1","0.095","0.008"
"19","19","28.6","0.005","0.0003"
"20","20","38.2","0.005","0.003"
"21","21","35.6","0.021","0.004"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.035","0.004"
"24","24","47.5","0.037","0.011"
"25","25","50","0.005","0.001"
"26","26","27.9","0.034","0.004"
"27","27","27.1","0.129","0.018"
"28","28","34","0.003","0.0002"
"29","29","32.3","0.054","0.008"
"30","30","31.1","0.06","0.005"
"31","31","22.3","0.055","0.006"
"32","32","34.4","0.01","0.001"
