"rank","item","obs","au","np"
"1","1","1.7","0.528","0.146"
"2","2","1.7","0.66","0.245"
"3","3","7.1","0.353","0.05"
"4","4","1.7","0.659","0.245"
"5","5","1.7","0.664","0.244"
"6","6","2.5","0.564","0.103"
"7","7","1.7","0.66","0.246"
"8","8","6.4","0.432","0.088"
"9","9","1.7","0.529","0.146"
"10","10","0","0.757","0.309"
"11","11","1.7","0.661","0.244"
"12","12","7.1","0.356","0.05"
"13","13","1.7","0.66","0.245"
"14","14","-0","0.757","0.308"
"15","15","2.5","0.565","0.102"
"16","16","1.7","0.527","0.147"
"17","17","38.3","0.038","0.006"
"18","18","25.1","0.075","0.007"
"19","19","28.6","0.022","0.001"
"20","20","38.2","0.004","0.003"
"21","21","35.6","0.021","0.004"
"22","22","49.2","0.0002","0.0001"
"23","23","35.3","0.024","0.003"
"24","24","47.5","0.034","0.01"
"25","25","50","0.008","0.001"
"26","26","27.9","0.019","0.004"
"27","27","27.1","0.095","0.01"
"28","28","34","0.025","0.001"
"29","29","32.3","0.058","0.008"
"30","30","31.1","0.044","0.004"
"31","31","22.3","0.083","0.007"
"32","32","34.4","0.005","0.001"
