"rank","item","obs","au","np"
"1","1","1.7","0.515","0.141"
"2","2","1.7","0.678","0.249"
"3","3","7.1","0.375","0.051"
"4","4","1.7","0.679","0.249"
"5","5","1.7","0.68","0.25"
"6","6","2.5","0.562","0.098"
"7","7","1.7","0.68","0.25"
"8","8","6.4","0.45","0.095"
"9","9","1.7","0.512","0.142"
"10","10","0","0.748","0.304"
"11","11","1.7","0.68","0.249"
"12","12","7.1","0.374","0.051"
"13","13","1.7","0.679","0.249"
"14","14","-0","0.747","0.303"
"15","15","2.5","0.561","0.097"
"16","16","1.7","0.513","0.142"
"17","17","38.3","0.057","0.007"
"18","18","25.1","0.074","0.007"
"19","19","28.6","0.0004","9E-05"
"20","20","38.2","0.009","0.004"
"21","21","35.6","0.016","0.005"
"22","22","49.2","0.0003","8E-05"
"23","23","35.3","0.022","0.002"
"24","24","47.5","0.037","0.011"
"25","25","50","0.009","0.001"
"26","26","27.9","0.03","0.004"
"27","27","27.1","0.082","0.01"
"28","28","34","0.019","0.001"
"29","29","32.3","0.05","0.007"
"30","30","31.1","0.028","0.003"
"31","31","22.3","0.078","0.006"
"32","32","34.4","0.005","0.001"
