"rank","item","obs","au","np"
"1","1","1.7","0.513","0.142"
"2","2","1.7","0.678","0.246"
"3","3","7.1","0.378","0.049"
"4","4","1.7","0.679","0.246"
"5","5","1.7","0.68","0.246"
"6","6","2.5","0.565","0.101"
"7","7","1.7","0.681","0.247"
"8","8","6.4","0.429","0.088"
"9","9","1.7","0.516","0.142"
"10","10","0","0.751","0.31"
"11","11","1.7","0.677","0.246"
"12","12","7.1","0.373","0.049"
"13","13","1.7","0.679","0.246"
"14","14","-0","0.753","0.309"
"15","15","2.5","0.566","0.1"
"16","16","1.7","0.516","0.142"
"17","17","38.3","0.047","0.006"
"18","18","25.1","0.044","0.006"
"19","19","28.6","0.006","0.0002"
"20","20","38.2","0.007","0.004"
"21","21","35.6","0.021","0.005"
"22","22","49.2","0.007","0.0004"
"23","23","35.3","0.012","0.002"
"24","24","47.5","0.037","0.01"
"25","25","50","0.007","0.001"
"26","26","27.9","0.024","0.003"
"27","27","27.1","0.1","0.012"
"28","28","34","0.008","0.0004"
"29","29","32.3","0.056","0.008"
"30","30","31.1","0.048","0.004"
"31","31","22.3","0.075","0.008"
"32","32","34.4","0.007","0.001"
