"rank","item","obs","au","np"
"1","1","1.7","0.495","0.143"
"2","2","1.7","0.68","0.254"
"3","3","7.1","0.364","0.048"
"4","4","1.7","0.679","0.254"
"5","5","1.7","0.679","0.254"
"6","6","2.5","0.582","0.044"
"7","7","1.7","0.68","0.254"
"8","8","6.4","0.426","0.089"
"9","9","1.7","0.499","0.142"
"10","10","0","0.749","0.309"
"11","11","1.7","0.679","0.253"
"12","12","7.1","0.366","0.048"
"13","13","1.7","0.679","0.254"
"14","14","-0","0.752","0.306"
"15","15","2.5","0.584","0.099"
"16","16","1.7","0.499","0.142"
"17","17","38.3","0.027","0.006"
"18","18","25.1","0.061","0.007"
"19","19","28.6","0.003","0.0003"
"20","20","38.2","0.008","0.003"
"21","21","35.6","0.027","0.005"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.016","0.002"
"24","24","47.5","0.026","0.009"
"25","25","50","0.022","0.003"
"26","26","27.9","0.033","0.005"
"27","27","27.1","0.093","0.01"
"28","28","34","0.023","0.0004"
"29","29","32.3","0.04","0.007"
"30","30","31.1","0.04","0.003"
"31","31","22.3","0.062","0.007"
"32","32","34.4","0.035","0.003"
