"rank","item","obs","au","np"
"1","1","1.7","0.51","0.145"
"2","2","1.7","0.684","0.26"
"3","3","7.1","0.383","0.052"
"4","4","1.7","0.682","0.26"
"5","5","1.7","0.684","0.26"
"6","6","2.5","0.574","0.094"
"7","7","1.7","0.685","0.261"
"8","8","6.4","0.426","0.087"
"9","9","1.7","0.51","0.145"
"10","10","0","0.744","0.302"
"11","11","1.7","0.682","0.26"
"12","12","7.1","0.381","0.052"
"13","13","1.7","0.684","0.26"
"14","14","-0","0.745","0.301"
"15","15","2.5","0.571","0.094"
"16","16","1.7","0.51","0.145"
"17","17","38.3","0.03","0.005"
"18","18","25.1","0.067","0.007"
"19","19","28.6","0.006","0.0003"
"20","20","38.2","0.005","0.003"
"21","21","35.6","0.021","0.004"
"22","22","49.2","0.002","0.0003"
"23","23","35.3","0.028","0.003"
"24","24","47.5","0.028","0.009"
"25","25","50","0.006","0.001"
"26","26","27.9","0.029","0.004"
"27","27","27.1","0.084","0.011"
"28","28","34","0.004","0.0001"
"29","29","32.3","0.044","0.007"
"30","30","31.1","0.031","0.004"
"31","31","22.3","0.059","0.006"
"32","32","34.4","0.019","0.001"
