"rank","item","obs","au","np"
"1","1","1.7","0.504","0.143"
"2","2","1.7","0.672","0.249"
"3","3","7.1","0.389","0.047"
"4","4","1.7","0.673","0.249"
"5","5","1.7","0.674","0.249"
"6","6","2.5","0.576","0.1"
"7","7","1.7","0.672","0.25"
"8","8","6.4","0.442","0.089"
"9","9","1.7","0.506","0.143"
"10","10","0","0.745","0.311"
"11","11","1.7","0.673","0.249"
"12","12","7.1","0.391","0.046"
"13","13","1.7","0.673","0.249"
"14","14","-0","0.745","0.31"
"15","15","2.5","0.575","0.1"
"16","16","1.7","0.506","0.143"
"17","17","38.3","0.043","0.006"
"18","18","25.1","0.039","0.006"
"19","19","28.6","0.017","0.0005"
"20","20","38.2","0.008","0.004"
"21","21","35.6","0.02","0.004"
"22","22","49.2","0.03","0.002"
"23","23","35.3","0.025","0.003"
"24","24","47.5","0.039","0.011"
"25","25","50","0.003","0.001"
"26","26","27.9","0.052","0.006"
"27","27","27.1","0.088","0.011"
"28","28","34","0.032","0.0005"
"29","29","32.3","0.035","0.007"
"30","30","31.1","0.024","0.003"
"31","31","22.3","0.101","0.006"
"32","32","34.4","0.004","0.001"
