"rank","item","obs","au","np"
"1","1","1.7","0.511","0.146"
"2","2","1.7","0.669","0.251"
"3","3","7.1","0.384","0.054"
"4","4","1.7","0.666","0.251"
"5","5","1.7","0.67","0.25"
"6","6","2.5","0.561","0.099"
"7","7","1.7","0.668","0.251"
"8","8","6.4","0.431","0.089"
"9","9","1.7","0.509","0.146"
"10","10","0","0.747","0.301"
"11","11","1.7","0.669","0.25"
"12","12","7.1","0.383","0.054"
"13","13","1.7","0.668","0.251"
"14","14","-0","0.748","0.3"
"15","15","2.5","0.56","0.098"
"16","16","1.7","0.511","0.146"
"17","17","38.3","0.028","0.005"
"18","18","25.1","0.054","0.006"
"19","19","28.6","0.023","0.001"
"20","20","38.2","0.008","0.004"
"21","21","35.6","0.026","0.005"
"22","22","49.2","0.015","0.001"
"23","23","35.3","0.019","0.003"
"24","24","47.5","0.039","0.011"
"25","25","50","0.009","0.001"
"26","26","27.9","0.038","0.005"
"27","27","27.1","0.09","0.01"
"28","28","34","0.019","0.0004"
"29","29","32.3","0.061","0.008"
"30","30","31.1","0.03","0.003"
"31","31","22.3","0.111","0.007"
"32","32","34.4","0.009","0.001"
