"rank","item","obs","au","np"
"1","1","1.7","0.496","0.143"
"2","2","1.7","0.676","0.245"
"3","3","7.1","0.389","0.051"
"4","4","1.7","0.676","0.245"
"5","5","1.7","0.675","0.245"
"6","6","2.5","0.562","0.099"
"7","7","1.7","0.677","0.245"
"8","8","6.4","0.435","0.092"
"9","9","1.7","0.5","0.143"
"10","10","0","0.751","0.31"
"11","11","1.7","0.673","0.245"
"12","12","7.1","0.385","0.051"
"13","13","1.7","0.674","0.245"
"14","14","-0","0.751","0.309"
"15","15","2.5","0.56","0.099"
"16","16","1.7","0.473","0.057"
"17","17","38.3","0.028","0.005"
"18","18","25.1","0.063","0.006"
"19","19","28.6","0.012","0.0003"
"20","20","38.2","0.007","0.003"
"21","21","35.6","0.027","0.005"
"22","22","49.2","0.002","0.0003"
"23","23","35.3","0.014","0.003"
"24","24","47.5","0.036","0.01"
"25","25","50","0.01","0.002"
"26","26","27.9","0.033","0.004"
"27","27","27.1","0.102","0.012"
"28","28","34","0.095","0.005"
"29","29","32.3","0.057","0.008"
"30","30","31.1","0.049","0.003"
"31","31","22.3","0.066","0.006"
"32","32","34.4","0.006","0.001"
