"rank","item","obs","au","np"
"1","1","1.7","0.504","0.143"
"2","2","1.7","0.688","0.259"
"3","3","7.1","0.38","0.049"
"4","4","1.7","0.689","0.259"
"5","5","1.7","0.688","0.26"
"6","6","2.5","0.571","0.099"
"7","7","1.7","0.691","0.26"
"8","8","6.4","0.45","0.088"
"9","9","1.7","0.507","0.142"
"10","10","0","0.736","0.305"
"11","11","1.7","0.688","0.259"
"12","12","7.1","0.381","0.049"
"13","13","1.7","0.686","0.26"
"14","14","-0","0.736","0.304"
"15","15","2.5","0.572","0.099"
"16","16","1.7","0.503","0.143"
"17","17","38.3","0.029","0.005"
"18","18","25.1","0.049","0.006"
"19","19","28.6","0.046","0.001"
"20","20","38.2","0.006","0.003"
"21","21","35.6","0.018","0.004"
"22","22","49.2","0.004","0.0003"
"23","23","35.3","0.009","0.002"
"24","24","47.5","0.024","0.01"
"25","25","50","0.005","0.001"
"26","26","27.9","0.037","0.005"
"27","27","27.1","0.088","0.01"
"28","28","34","0.061","0.001"
"29","29","32.3","0.035","0.007"
"30","30","31.1","0.048","0.003"
"31","31","22.3","0.054","0.006"
"32","32","34.4","0.032","0.002"
