"rank","item","obs","au","np"
"1","1","1.7","0.503","0.144"
"2","2","1.7","0.679","0.253"
"3","3","7.1","0.39","0.052"
"4","4","1.7","0.676","0.253"
"5","5","1.7","0.679","0.253"
"6","6","2.5","0.552","0.096"
"7","7","1.7","0.677","0.254"
"8","8","6.4","0.414","0.087"
"9","9","1.7","0.443","0.033"
"10","10","0","0.757","0.306"
"11","11","1.7","0.676","0.253"
"12","12","7.1","0.39","0.052"
"13","13","1.7","0.677","0.253"
"14","14","-0","0.757","0.305"
"15","15","2.5","0.555","0.095"
"16","16","1.7","0.506","0.144"
"17","17","38.3","0.041","0.006"
"18","18","25.1","0.071","0.007"
"19","19","28.6","0.003","0.0003"
"20","20","38.2","0.004","0.003"
"21","21","35.6","0.018","0.004"
"22","22","49.2","0.001","0.0001"
"23","23","35.3","0.035","0.002"
"24","24","47.5","0.044","0.011"
"25","25","50","0.019","0.002"
"26","26","27.9","0.031","0.005"
"27","27","27.1","0.102","0.011"
"28","28","34","0.002","8E-05"
"29","29","32.3","0.066","0.008"
"30","30","31.1","0.062","0.005"
"31","31","22.3","0.065","0.006"
"32","32","34.4","0.011","0.001"
