"rank","item","obs","au","np"
"1","1","1.7","0.47","0.055"
"2","2","1.7","0.685","0.254"
"3","3","7.1","0.37","0.051"
"4","4","1.7","0.686","0.254"
"5","5","1.7","0.684","0.254"
"6","6","2.5","0.564","0.096"
"7","7","1.7","0.685","0.255"
"8","8","6.4","0.435","0.084"
"9","9","1.7","0.503","0.148"
"10","10","0","0.752","0.301"
"11","11","1.7","0.685","0.254"
"12","12","7.1","0.372","0.051"
"13","13","1.7","0.685","0.254"
"14","14","-0","0.752","0.301"
"15","15","2.5","0.562","0.097"
"16","16","1.7","0.501","0.148"
"17","17","38.3","0.031","0.005"
"18","18","25.1","0.042","0.006"
"19","19","28.6","0.004","0.0002"
"20","20","38.2","0.006","0.004"
"21","21","35.6","0.036","0.005"
"22","22","49.2","0.01","0.001"
"23","23","35.3","0.028","0.003"
"24","24","47.5","0.032","0.011"
"25","25","50","0.012","0.001"
"26","26","27.9","0.032","0.005"
"27","27","27.1","0.085","0.012"
"28","28","34","0.006","0.0002"
"29","29","32.3","0.068","0.008"
"30","30","31.1","0.06","0.004"
"31","31","22.3","0.106","0.008"
"32","32","34.4","0.019","0.001"
