"rank","item","obs","au","np"
"1","1","1.7","0.508","0.146"
"2","2","1.7","0.685","0.249"
"3","3","7.1","0.361","0.049"
"4","4","1.7","0.684","0.25"
"5","5","1.7","0.685","0.25"
"6","6","2.5","0.558","0.102"
"7","7","1.7","0.685","0.25"
"8","8","6.4","0.431","0.092"
"9","9","1.7","0.509","0.146"
"10","10","0","0.745","0.303"
"11","11","1.7","0.685","0.249"
"12","12","7.1","0.36","0.049"
"13","13","1.7","0.685","0.249"
"14","14","-0","0.747","0.301"
"15","15","2.5","0.505","0.057"
"16","16","1.7","0.509","0.146"
"17","17","38.3","0.019","0.004"
"18","18","25.1","0.064","0.007"
"19","19","28.6","0.017","0.001"
"20","20","38.2","0.012","0.005"
"21","21","35.6","0.016","0.004"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.015","0.002"
"24","24","47.5","0.025","0.009"
"25","25","50","0.002","0.001"
"26","26","27.9","0.044","0.005"
"27","27","27.1","0.115","0.012"
"28","28","34","0.031","0.001"
"29","29","32.3","0.045","0.007"
"30","30","31.1","0.032","0.004"
"31","31","22.3","0.093","0.007"
"32","32","34.4","0.012","0.001"
