"rank","item","obs","au","np"
"1","1","1.7","0.518","0.143"
"2","2","1.7","0.671","0.253"
"3","3","7.1","0.377","0.049"
"4","4","1.7","0.674","0.252"
"5","5","1.7","0.674","0.253"
"6","6","2.5","0.563","0.098"
"7","7","1.7","0.673","0.253"
"8","8","6.4","0.42","0.084"
"9","9","1.7","0.522","0.143"
"10","10","0","0.756","0.312"
"11","11","1.7","0.672","0.253"
"12","12","7.1","0.374","0.049"
"13","13","1.7","0.672","0.253"
"14","14","-0","0.756","0.311"
"15","15","2.5","0.525","0.054"
"16","16","1.7","0.518","0.144"
"17","17","38.3","0.015","0.004"
"18","18","25.1","0.078","0.007"
"19","19","28.6","0.001","0.0002"
"20","20","38.2","0.004","0.003"
"21","21","35.6","0.016","0.005"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.026","0.003"
"24","24","47.5","0.047","0.012"
"25","25","50","0.007","0.001"
"26","26","27.9","0.027","0.004"
"27","27","27.1","0.08","0.01"
"28","28","34","0.026","0.001"
"29","29","32.3","0.041","0.006"
"30","30","31.1","0.037","0.003"
"31","31","22.3","0.083","0.007"
"32","32","34.4","0.01","0.001"
