"rank","item","obs","au","np"
"1","1","1.7","0.5","0.15"
"2","2","1.7","0.666","0.25"
"3","3","7.1","0.36","0.049"
"4","4","1.7","0.667","0.25"
"5","5","1.7","0.667","0.249"
"6","6","2.5","0.557","0.1"
"7","7","1.7","0.667","0.25"
"8","8","6.4","0.414","0.092"
"9","9","1.7","0.501","0.149"
"10","10","0","0.754","0.306"
"11","11","1.7","0.666","0.25"
"12","12","7.1","0.363","0.048"
"13","13","1.7","0.667","0.249"
"14","14","-0","0.755","0.305"
"15","15","2.5","0.554","0.099"
"16","16","1.7","0.504","0.148"
"17","17","38.3","0.033","0.005"
"18","18","25.1","0.092","0.007"
"19","19","28.6","0.018","0.001"
"20","20","38.2","0.009","0.003"
"21","21","35.6","0.02","0.004"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.019","0.003"
"24","24","47.5","0.037","0.01"
"25","25","50","0.001","0.001"
"26","26","27.9","0.035","0.004"
"27","27","27.1","0.114","0.012"
"28","28","34","0.02","0.0004"
"29","29","32.3","0.051","0.007"
"30","30","31.1","0.015","0.002"
"31","31","22.3","0.062","0.006"
"32","32","34.4","0.003","0.001"
