"rank","item","obs","au","np"
"1","1","1.7","0.51","0.144"
"2","2","1.7","0.687","0.25"
"3","3","7.1","0.396","0.051"
"4","4","1.7","0.687","0.25"
"5","5","1.7","0.687","0.25"
"6","6","2.5","0.551","0.102"
"7","7","1.7","0.687","0.251"
"8","8","6.4","0.433","0.086"
"9","9","1.7","0.509","0.143"
"10","10","0","0.755","0.308"
"11","11","1.7","0.689","0.249"
"12","12","7.1","0.397","0.051"
"13","13","1.7","0.685","0.25"
"14","14","-0","0.756","0.308"
"15","15","2.5","0.554","0.101"
"16","16","1.7","0.509","0.144"
"17","17","38.3","0.034","0.006"
"18","18","25.1","0.067","0.008"
"19","19","28.6","0.006","0.0003"
"20","20","38.2","0.004","0.003"
"21","21","35.6","0.02","0.004"
"22","22","49.2","2E-05","3E-05"
"23","23","35.3","0.026","0.003"
"24","24","47.5","0.026","0.009"
"25","25","50","0.01","0.001"
"26","26","27.9","0.023","0.005"
"27","27","27.1","0.109","0.012"
"28","28","34","0.044","0.002"
"29","29","32.3","0.064","0.01"
"30","30","31.1","0.034","0.003"
"31","31","22.3","0.037","0.005"
"32","32","34.4","0.019","0.001"
