"rank","item","obs","au","np"
"1","1","1.7","0.516","0.145"
"2","2","1.7","0.672","0.256"
"3","3","7.1","0.385","0.052"
"4","4","1.7","0.671","0.256"
"5","5","1.7","0.672","0.256"
"6","6","2.5","0.575","0.096"
"7","7","1.7","0.671","0.257"
"8","8","6.4","0.447","0.091"
"9","9","1.7","0.516","0.145"
"10","10","0","0.743","0.298"
"11","11","1.7","0.673","0.255"
"12","12","7.1","0.384","0.052"
"13","13","1.7","0.673","0.256"
"14","14","-0","0.743","0.297"
"15","15","2.5","0.572","0.096"
"16","16","1.7","0.514","0.145"
"17","17","38.3","0.039","0.006"
"18","18","25.1","0.078","0.007"
"19","19","28.6","0.01","0.0003"
"20","20","38.2","0.008","0.004"
"21","21","35.6","0.018","0.006"
"22","22","49.2","0.004","0.0004"
"23","23","35.3","0.03","0.003"
"24","24","47.5","0.039","0.011"
"25","25","50","0.008","0.001"
"26","26","27.9","0.034","0.004"
"27","27","27.1","0.105","0.012"
"28","28","34","0.029","0.0004"
"29","29","32.3","0.046","0.007"
"30","30","31.1","0.039","0.003"
"31","31","22.3","0.067","0.006"
"32","32","34.4","0.02","0.002"
