"rank","item","obs","au","np"
"1","1","1.7","0.502","0.141"
"2","2","1.7","0.679","0.247"
"3","3","7.1","0.379","0.048"
"4","4","1.7","0.678","0.247"
"5","5","1.7","0.679","0.247"
"6","6","2.5","0.56","0.103"
"7","7","1.7","0.681","0.247"
"8","8","6.4","0.43","0.092"
"9","9","1.7","0.499","0.141"
"10","10","0","0.749","0.308"
"11","11","1.7","0.678","0.248"
"12","12","7.1","0.38","0.048"
"13","13","1.7","0.68","0.247"
"14","14","-0","0.75","0.307"
"15","15","2.5","0.557","0.103"
"16","16","1.7","0.498","0.141"
"17","17","38.3","0.03","0.006"
"18","18","25.1","0.051","0.007"
"19","19","28.6","0.032","0.001"
"20","20","38.2","0.005","0.003"
"21","21","35.6","0.027","0.004"
"22","22","49.2","0.008","0.0004"
"23","23","35.3","0.023","0.003"
"24","24","47.5","0.029","0.01"
"25","25","50","0.007","0.001"
"26","26","27.9","0.033","0.005"
"27","27","27.1","0.103","0.011"
"28","28","34","0.01","0.0003"
"29","29","32.3","0.053","0.008"
"30","30","31.1","0.043","0.003"
"31","31","22.3","0.085","0.006"
"32","32","34.4","0.022","0.002"
