"rank","item","obs","au","np"
"1","1","1.7","0.505","0.144"
"2","2","1.7","0.672","0.258"
"3","3","7.1","0.347","0.018"
"4","4","1.7","0.671","0.258"
"5","5","1.7","0.671","0.259"
"6","6","2.5","0.572","0.1"
"7","7","1.7","0.673","0.258"
"8","8","6.4","0.444","0.087"
"9","9","1.7","0.51","0.143"
"10","10","0","0.742","0.304"
"11","11","1.7","0.672","0.258"
"12","12","7.1","0.383","0.05"
"13","13","1.7","0.67","0.259"
"14","14","-0","0.74","0.303"
"15","15","2.5","0.57","0.099"
"16","16","1.7","0.509","0.143"
"17","17","38.3","0.03","0.005"
"18","18","25.1","0.056","0.006"
"19","19","28.6","0.002","0.0002"
"20","20","38.2","0.006","0.004"
"21","21","35.6","0.026","0.006"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.014","0.003"
"24","24","47.5","0.046","0.011"
"25","25","50","0.003","0.001"
"26","26","27.9","0.031","0.004"
"27","27","27.1","0.082","0.008"
"28","28","34","0.002","0.0001"
"29","29","32.3","0.036","0.006"
"30","30","31.1","0.042","0.003"
"31","31","22.3","0.081","0.007"
"32","32","34.4","0.019","0.001"
