"rank","item","obs","au","np"
"1","1","1.7","0.504","0.147"
"2","2","1.7","0.668","0.247"
"3","3","7.1","0.386","0.017"
"4","4","1.7","0.67","0.247"
"5","5","1.7","0.669","0.247"
"6","6","2.5","0.556","0.097"
"7","7","1.7","0.669","0.247"
"8","8","6.4","0.426","0.086"
"9","9","1.7","0.502","0.147"
"10","10","0","0.757","0.31"
"11","11","1.7","0.669","0.247"
"12","12","7.1","0.39","0.047"
"13","13","1.7","0.668","0.247"
"14","14","-0","0.758","0.308"
"15","15","2.5","0.558","0.097"
"16","16","1.7","0.503","0.147"
"17","17","38.3","0.043","0.006"
"18","18","25.1","0.086","0.008"
"19","19","28.6","0.015","0.001"
"20","20","38.2","0.006","0.003"
"21","21","35.6","0.027","0.005"
"22","22","49.2","0.001","0.0001"
"23","23","35.3","0.021","0.002"
"24","24","47.5","0.024","0.01"
"25","25","50","0.011","0.001"
"26","26","27.9","0.052","0.006"
"27","27","27.1","0.121","0.012"
"28","28","34","0.016","0.0004"
"29","29","32.3","0.06","0.008"
"30","30","31.1","0.044","0.003"
"31","31","22.3","0.091","0.007"
"32","32","34.4","0.003","0.001"
