"rank","item","obs","au","np"
"1","1","1.7","0.526","0.149"
"2","2","1.7","0.682","0.243"
"3","3","7.1","0.349","0.016"
"4","4","1.7","0.681","0.244"
"5","5","1.7","0.682","0.244"
"6","6","2.5","0.571","0.099"
"7","7","1.7","0.685","0.244"
"8","8","6.4","0.427","0.088"
"9","9","1.7","0.526","0.15"
"10","10","0","0.753","0.305"
"11","11","1.7","0.683","0.243"
"12","12","7.1","0.372","0.05"
"13","13","1.7","0.682","0.243"
"14","14","-0","0.752","0.304"
"15","15","2.5","0.572","0.099"
"16","16","1.7","0.523","0.15"
"17","17","38.3","0.053","0.007"
"18","18","25.1","0.064","0.007"
"19","19","28.6","0.008","0.0005"
"20","20","38.2","0.006","0.004"
"21","21","35.6","0.025","0.006"
"22","22","49.2","0.003","0.0002"
"23","23","35.3","0.021","0.002"
"24","24","47.5","0.035","0.01"
"25","25","50","0.01","0.002"
"26","26","27.9","0.023","0.004"
"27","27","27.1","0.076","0.01"
"28","28","34","0.02","0.001"
"29","29","32.3","0.06","0.007"
"30","30","31.1","0.052","0.004"
"31","31","22.3","0.087","0.007"
"32","32","34.4","0.014","0.001"
