"rank","item","obs","au","np"
"1","1","1.7","0.499","0.146"
"2","2","1.7","0.684","0.254"
"3","3","7.1","0.374","0.051"
"4","4","1.7","0.683","0.254"
"5","5","1.7","0.683","0.254"
"6","6","2.5","0.573","0.099"
"7","7","1.7","0.685","0.254"
"8","8","6.4","0.426","0.091"
"9","9","1.7","0.502","0.146"
"10","10","0","0.743","0.304"
"11","11","1.7","0.685","0.253"
"12","12","7.1","0.375","0.051"
"13","13","1.7","0.686","0.253"
"14","14","-0","0.746","0.303"
"15","15","2.5","0.574","0.098"
"16","16","1.7","0.503","0.146"
"17","17","38.3","0.024","0.005"
"18","18","25.1","0.044","0.006"
"19","19","28.6","0.001","0.0002"
"20","20","38.2","0.002","0.002"
"21","21","35.6","0.029","0.005"
"22","22","49.2","0.011","0.001"
"23","23","35.3","0.026","0.003"
"24","24","47.5","0.033","0.011"
"25","25","50","0.006","0.001"
"26","26","27.9","0.026","0.004"
"27","27","27.1","0.073","0.009"
"28","28","34","0.019","0.0004"
"29","29","32.3","0.049","0.007"
"30","30","31.1","0.026","0.004"
"31","31","22.3","0.077","0.006"
"32","32","34.4","0.01","0.001"
