"rank","item","obs","au","np"
"1","1","1.7","0.502","0.146"
"2","2","1.7","0.691","0.256"
"3","3","7.1","0.372","0.049"
"4","4","1.7","0.691","0.256"
"5","5","1.7","0.691","0.256"
"6","6","2.5","0.578","0.096"
"7","7","1.7","0.693","0.256"
"8","8","6.4","0.42","0.092"
"9","9","1.7","0.503","0.144"
"10","10","0","0.741","0.304"
"11","11","1.7","0.691","0.256"
"12","12","7.1","0.37","0.049"
"13","13","1.7","0.69","0.256"
"14","14","-0","0.74","0.303"
"15","15","2.5","0.577","0.096"
"16","16","1.7","0.504","0.144"
"17","17","38.3","0.039","0.005"
"18","18","25.1","0.055","0.006"
"19","19","28.6","0.011","0.0004"
"20","20","38.2","0.003","0.003"
"21","21","35.6","0.025","0.005"
"22","22","49.2","0.0004","0.0001"
"23","23","35.3","0.008","0.002"
"24","24","47.5","0.04","0.011"
"25","25","50","0.002","0.001"
"26","26","27.9","0.042","0.005"
"27","27","27.1","0.087","0.011"
"28","28","34","0.001","0.0002"
"29","29","32.3","0.037","0.006"
"30","30","31.1","0.033","0.003"
"31","31","22.3","0.089","0.007"
"32","32","34.4","0.023","0.002"
