"rank","item","obs","au","np"
"1","1","1.7","0.474","0.053"
"2","2","1.7","0.685","0.256"
"3","3","7.1","0.363","0.047"
"4","4","1.7","0.684","0.256"
"5","5","1.7","0.684","0.257"
"6","6","2.5","0.588","0.101"
"7","7","1.7","0.687","0.256"
"8","8","6.4","0.419","0.092"
"9","9","1.7","0.498","0.144"
"10","10","0","0.75","0.3"
"11","11","1.7","0.687","0.255"
"12","12","7.1","0.364","0.047"
"13","13","1.7","0.685","0.256"
"14","14","-0","0.75","0.299"
"15","15","2.5","0.588","0.1"
"16","16","1.7","0.498","0.144"
"17","17","38.3","0.03","0.005"
"18","18","25.1","0.051","0.007"
"19","19","28.6","0.005","0.0003"
"20","20","38.2","0.003","0.003"
"21","21","35.6","0.021","0.005"
"22","22","49.2","0.0003","0.0001"
"23","23","35.3","0.034","0.003"
"24","24","47.5","0.025","0.009"
"25","25","50","0.0004","0.001"
"26","26","27.9","0.041","0.005"
"27","27","27.1","0.105","0.011"
"28","28","34","0.021","0.001"
"29","29","32.3","0.054","0.008"
"30","30","31.1","0.055","0.004"
"31","31","22.3","0.087","0.008"
"32","32","34.4","0.013","0.001"
