"rank","item","obs","au","np"
"1","1","1.7","0.516","0.147"
"2","2","1.7","0.674","0.257"
"3","3","7.1","0.371","0.049"
"4","4","1.7","0.676","0.258"
"5","5","1.7","0.678","0.257"
"6","6","2.5","0.559","0.103"
"7","7","1.7","0.676","0.258"
"8","8","6.4","0.407","0.086"
"9","9","1.7","0.518","0.147"
"10","10","0","0.752","0.299"
"11","11","1.7","0.675","0.257"
"12","12","7.1","0.371","0.048"
"13","13","1.7","0.676","0.257"
"14","14","-0","0.752","0.298"
"15","15","2.5","0.561","0.103"
"16","16","1.7","0.517","0.147"
"17","17","38.3","0.038","0.006"
"18","18","25.1","0.054","0.006"
"19","19","28.6","0.036","0.001"
"20","20","38.2","0.005","0.003"
"21","21","35.6","0.02","0.005"
"22","22","49.2","0.0005","0.0002"
"23","23","35.3","0.056","0.003"
"24","24","47.5","0.044","0.011"
"25","25","50","0.009","0.001"
"26","26","27.9","0.039","0.005"
"27","27","27.1","0.107","0.01"
"28","28","34","0.005","0.0003"
"29","29","32.3","0.041","0.007"
"30","30","31.1","0.026","0.003"
"31","31","22.3","0.071","0.006"
"32","32","34.4","0.004","0.001"
