"rank","item","obs","au","np"
"1","1","1.7","0.508","0.141"
"2","2","1.7","0.693","0.255"
"3","3","7.1","0.373","0.046"
"4","4","1.7","0.694","0.255"
"5","5","1.7","0.693","0.256"
"6","6","2.5","0.559","0.099"
"7","7","1.7","0.694","0.256"
"8","8","6.4","0.424","0.087"
"9","9","1.7","0.505","0.141"
"10","10","0","0.754","0.308"
"11","11","1.7","0.692","0.255"
"12","12","7.1","0.37","0.046"
"13","13","1.7","0.693","0.255"
"14","14","-0","0.755","0.307"
"15","15","2.5","0.56","0.099"
"16","16","1.7","0.508","0.142"
"17","17","38.3","0.031","0.005"
"18","18","25.1","0.058","0.006"
"19","19","28.6","0.004","0.0003"
"20","20","38.2","0.002","0.002"
"21","21","35.6","0.02","0.005"
"22","22","49.2","0.0004","0.0001"
"23","23","35.3","0.033","0.003"
"24","24","47.5","0.042","0.011"
"25","25","50","0.012","0.001"
"26","26","27.9","0.036","0.005"
"27","27","27.1","0.077","0.01"
"28","28","34","0.016","0.0004"
"29","29","32.3","0.049","0.008"
"30","30","31.1","0.039","0.004"
"31","31","22.3","0.071","0.007"
"32","32","34.4","0.014","0.001"
