"rank","item","obs","au","np"
"1","1","1.7","0.515","0.147"
"2","2","1.7","0.667","0.248"
"3","3","7.1","0.388","0.051"
"4","4","1.7","0.668","0.248"
"5","5","1.7","0.668","0.248"
"6","6","2.5","0.573","0.099"
"7","7","1.7","0.669","0.248"
"8","8","6.4","0.427","0.086"
"9","9","1.7","0.516","0.146"
"10","10","0","0.752","0.305"
"11","11","1.7","0.668","0.248"
"12","12","7.1","0.388","0.051"
"13","13","1.7","0.668","0.248"
"14","14","-0","0.75","0.305"
"15","15","2.5","0.526","0.052"
"16","16","1.7","0.516","0.146"
"17","17","38.3","0.035","0.006"
"18","18","25.1","0.075","0.008"
"19","19","28.6","0.006","0.0003"
"20","20","38.2","0.009","0.004"
"21","21","35.6","0.028","0.005"
"22","22","49.2","0.0002","0.0001"
"23","23","35.3","0.052","0.006"
"24","24","47.5","0.034","0.011"
"25","25","50","0.003","0.001"
"26","26","27.9","0.042","0.005"
"27","27","27.1","0.109","0.011"
"28","28","34","1E-06","8E-06"
"29","29","32.3","0.055","0.008"
"30","30","31.1","0.042","0.003"
"31","31","22.3","0.057","0.006"
"32","32","34.4","0.025","0.001"
