"rank","item","obs","au","np"
"1","1","1.7","0.503","0.145"
"2","2","1.7","0.682","0.252"
"3","3","7.1","0.389","0.049"
"4","4","1.7","0.681","0.253"
"5","5","1.7","0.684","0.253"
"6","6","2.5","0.572","0.092"
"7","7","1.7","0.683","0.253"
"8","8","6.4","0.426","0.088"
"9","9","1.7","0.506","0.144"
"10","10","0","0.751","0.312"
"11","11","1.7","0.684","0.252"
"12","12","7.1","0.393","0.049"
"13","13","1.7","0.683","0.252"
"14","14","-0","0.751","0.31"
"15","15","2.5","0.572","0.092"
"16","16","1.7","0.504","0.144"
"17","17","38.3","0.027","0.004"
"18","18","25.1","0.059","0.007"
"19","19","28.6","0.025","0.001"
"20","20","38.2","0.007","0.004"
"21","21","35.6","0.027","0.006"
"22","22","49.2","0.002","0.0003"
"23","23","35.3","0.017","0.002"
"24","24","47.5","0.029","0.009"
"25","25","50","0.014","0.002"
"26","26","27.9","0.029","0.005"
"27","27","27.1","0.093","0.01"
"28","28","34","0.006","0.0003"
"29","29","32.3","0.058","0.008"
"30","30","31.1","0.047","0.004"
"31","31","22.3","0.076","0.007"
"32","32","34.4","0.01","0.001"
