"rank","item","obs","au","np"
"1","1","1.7","0.497","0.144"
"2","2","1.7","0.675","0.246"
"3","3","7.1","0.412","0.048"
"4","4","1.7","0.674","0.246"
"5","5","1.7","0.673","0.246"
"6","6","2.5","0.579","0.099"
"7","7","1.7","0.673","0.247"
"8","8","6.4","0.431","0.086"
"9","9","1.7","0.497","0.143"
"10","10","0","0.751","0.309"
"11","11","1.7","0.672","0.247"
"12","12","7.1","0.411","0.048"
"13","13","1.7","0.673","0.246"
"14","14","-0","0.749","0.309"
"15","15","2.5","0.577","0.099"
"16","16","1.7","0.493","0.144"
"17","17","38.3","0.037","0.005"
"18","18","25.1","0.095","0.008"
"19","19","28.6","0.01","0.0004"
"20","20","38.2","0.007","0.004"
"21","21","35.6","0.018","0.005"
"22","22","49.2","0.0001","5E-05"
"23","23","35.3","0.024","0.003"
"24","24","47.5","0.032","0.011"
"25","25","50","0.013","0.002"
"26","26","27.9","0.037","0.005"
"27","27","27.1","0.085","0.012"
"28","28","34","0.022","0.0004"
"29","29","32.3","0.079","0.009"
"30","30","31.1","0.062","0.004"
"31","31","22.3","0.086","0.006"
"32","32","34.4","0.02","0.001"
