"rank","item","obs","au","np"
"1","1","1.7","0.494","0.14"
"2","2","1.7","0.677","0.252"
"3","3","7.1","0.389","0.052"
"4","4","1.7","0.679","0.251"
"5","5","1.7","0.679","0.251"
"6","6","2.5","0.584","0.1"
"7","7","1.7","0.679","0.252"
"8","8","6.4","0.423","0.084"
"9","9","1.7","0.493","0.14"
"10","10","0","0.739","0.309"
"11","11","1.7","0.678","0.251"
"12","12","7.1","0.39","0.052"
"13","13","1.7","0.678","0.251"
"14","14","-0","0.738","0.308"
"15","15","2.5","0.587","0.099"
"16","16","1.7","0.492","0.14"
"17","17","38.3","0.05","0.008"
"18","18","25.1","0.06","0.007"
"19","19","28.6","0.024","0.001"
"20","20","38.2","0.007","0.004"
"21","21","35.6","0.021","0.005"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.022","0.003"
"24","24","47.5","0.047","0.011"
"25","25","50","0.01","0.001"
"26","26","27.9","0.053","0.005"
"27","27","27.1","0.112","0.011"
"28","28","34","0.014","0.0003"
"29","29","32.3","0.041","0.008"
"30","30","31.1","0.047","0.004"
"31","31","22.3","0.075","0.007"
"32","32","34.4","0.023","0.002"
