"rank","item","obs","au","np"
"1","1","1.7","0.5","0.15"
"2","2","1.7","0.673","0.248"
"3","3","7.1","0.388","0.049"
"4","4","1.7","0.673","0.247"
"5","5","1.7","0.672","0.248"
"6","6","2.5","0.566","0.102"
"7","7","1.7","0.673","0.248"
"8","8","6.4","0.436","0.091"
"9","9","1.7","0.497","0.151"
"10","10","0","0.751","0.299"
"11","11","1.7","0.671","0.248"
"12","12","7.1","0.386","0.049"
"13","13","1.7","0.672","0.248"
"14","14","-0","0.751","0.298"
"15","15","2.5","0.567","0.102"
"16","16","1.7","0.5","0.15"
"17","17","38.3","0.032","0.006"
"18","18","25.1","0.061","0.007"
"19","19","28.6","0.001","0.0002"
"20","20","38.2","0.006","0.003"
"21","21","35.6","0.03","0.005"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.021","0.003"
"24","24","47.5","0.043","0.01"
"25","25","50","0.003","0.001"
"26","26","27.9","0.038","0.006"
"27","27","27.1","0.084","0.01"
"28","28","34","0.044","0.001"
"29","29","32.3","0.077","0.01"
"30","30","31.1","0.039","0.004"
"31","31","22.3","0.075","0.006"
"32","32","34.4","0.009","0.001"
