"rank","item","obs","au","np"
"1","1","1.7","0.497","0.144"
"2","2","1.7","0.679","0.25"
"3","3","7.1","0.397","0.053"
"4","4","1.7","0.677","0.251"
"5","5","1.7","0.679","0.251"
"6","6","2.5","0.568","0.099"
"7","7","1.7","0.679","0.251"
"8","8","6.4","0.443","0.087"
"9","9","1.7","0.499","0.144"
"10","10","0","0.744","0.304"
"11","11","1.7","0.678","0.25"
"12","12","7.1","0.393","0.054"
"13","13","1.7","0.678","0.25"
"14","14","-0","0.744","0.302"
"15","15","2.5","0.569","0.099"
"16","16","1.7","0.499","0.144"
"17","17","38.3","0.047","0.006"
"18","18","25.1","0.07","0.007"
"19","19","28.6","0.015","0.0003"
"20","20","38.2","0.008","0.004"
"21","21","35.6","0.011","0.004"
"22","22","49.2","0.003","0.0003"
"23","23","35.3","0.026","0.003"
"24","24","47.5","0.04","0.011"
"25","25","50","0.011","0.002"
"26","26","27.9","0.04","0.006"
"27","27","27.1","0.081","0.011"
"28","28","34","0.039","0.001"
"29","29","32.3","0.062","0.007"
"30","30","31.1","0.054","0.004"
"31","31","22.3","0.07","0.007"
"32","32","34.4","0.011","0.001"
