"rank","item","obs","au","np"
"1","1","1.7","0.512","0.146"
"2","2","1.7","0.68","0.251"
"3","3","7.1","0.371","0.049"
"4","4","1.7","0.681","0.251"
"5","5","1.7","0.682","0.251"
"6","6","2.5","0.553","0.098"
"7","7","1.7","0.681","0.252"
"8","8","6.4","0.407","0.089"
"9","9","1.7","0.513","0.146"
"10","10","0","0.745","0.309"
"11","11","1.7","0.681","0.251"
"12","12","7.1","0.37","0.049"
"13","13","1.7","0.678","0.252"
"14","14","-0","0.744","0.308"
"15","15","2.5","0.553","0.098"
"16","16","1.7","0.511","0.147"
"17","17","38.3","0.038","0.006"
"18","18","25.1","0.092","0.008"
"19","19","28.6","0.018","0.001"
"20","20","38.2","0.006","0.004"
"21","21","35.6","0.018","0.004"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.023","0.003"
"24","24","47.5","0.028","0.009"
"25","25","50","0.006","0.001"
"26","26","27.9","0.048","0.005"
"27","27","27.1","0.09","0.01"
"28","28","34","0.015","0.0004"
"29","29","32.3","0.049","0.007"
"30","30","31.1","0.052","0.003"
"31","31","22.3","0.069","0.006"
"32","32","34.4","0.005","0.001"
