"rank","item","obs","au","np"
"1","1","1.7","0.503","0.145"
"2","2","1.7","0.682","0.252"
"3","3","7.1","0.388","0.05"
"4","4","1.7","0.683","0.252"
"5","5","1.7","0.683","0.252"
"6","6","2.5","0.547","0.1"
"7","7","1.7","0.684","0.253"
"8","8","6.4","0.43","0.083"
"9","9","1.7","0.503","0.145"
"10","10","0","0.755","0.309"
"11","11","1.7","0.685","0.251"
"12","12","7.1","0.385","0.05"
"13","13","1.7","0.683","0.252"
"14","14","-0","0.755","0.307"
"15","15","2.5","0.547","0.099"
"16","16","1.7","0.499","0.146"
"17","17","38.3","0.03","0.006"
"18","18","25.1","0.067","0.007"
"19","19","28.6","0.015","0.001"
"20","20","38.2","0.007","0.004"
"21","21","35.6","0.023","0.004"
"22","22","49.2","0.005","0.0003"
"23","23","35.3","0.047","0.003"
"24","24","47.5","0.027","0.009"
"25","25","50","0.013","0.001"
"26","26","27.9","0.069","0.005"
"27","27","27.1","0.074","0.011"
"28","28","34","0.049","0.001"
"29","29","32.3","0.039","0.008"
"30","30","31.1","0.058","0.004"
"31","31","22.3","0.09","0.007"
"32","32","34.4","0.019","0.002"
