"rank","item","obs","au","np"
"1","1","1.7","0.5","0.148"
"2","2","1.7","0.677","0.254"
"3","3","7.1","0.37","0.048"
"4","4","1.7","0.677","0.254"
"5","5","1.7","0.676","0.254"
"6","6","2.5","0.54","0.097"
"7","7","1.7","0.678","0.254"
"8","8","6.4","0.433","0.086"
"9","9","1.7","0.501","0.148"
"10","10","0","0.75","0.309"
"11","11","1.7","0.677","0.254"
"12","12","7.1","0.371","0.048"
"13","13","1.7","0.676","0.254"
"14","14","-0","0.749","0.309"
"15","15","2.5","0.537","0.097"
"16","16","1.7","0.498","0.148"
"17","17","38.3","0.042","0.006"
"18","18","25.1","0.069","0.006"
"19","19","28.6","0.007","0.0002"
"20","20","38.2","0.009","0.004"
"21","21","35.6","0.025","0.005"
"22","22","49.2","0.0003","0.0002"
"23","23","35.3","0.023","0.003"
"24","24","47.5","0.025","0.009"
"25","25","50","0.01","0.001"
"26","26","27.9","0.033","0.004"
"27","27","27.1","0.14","0.011"
"28","28","34","0.012","0.0002"
"29","29","32.3","0.045","0.007"
"30","30","31.1","0.026","0.003"
"31","31","22.3","0.082","0.007"
"32","32","34.4","0.002","0.001"
