"rank","item","obs","au","np"
"1","1","1.7","0.495","0.146"
"2","2","1.7","0.678","0.249"
"3","3","7.1","0.381","0.05"
"4","4","1.7","0.678","0.249"
"5","5","1.7","0.68","0.249"
"6","6","2.5","0.574","0.102"
"7","7","1.7","0.68","0.249"
"8","8","6.4","0.403","0.082"
"9","9","1.7","0.498","0.145"
"10","10","0","0.761","0.311"
"11","11","1.7","0.679","0.248"
"12","12","7.1","0.38","0.05"
"13","13","1.7","0.679","0.248"
"14","14","-0","0.759","0.31"
"15","15","2.5","0.574","0.102"
"16","16","1.7","0.498","0.145"
"17","17","38.3","0.038","0.005"
"18","18","25.1","0.067","0.007"
"19","19","28.6","0.014","0.001"
"20","20","38.2","0.006","0.004"
"21","21","35.6","0.02","0.004"
"22","22","49.2","0.004","0.0003"
"23","23","35.3","0.009","0.002"
"24","24","47.5","0.022","0.009"
"25","25","50","0.016","0.002"
"26","26","27.9","0.039","0.005"
"27","27","27.1","0.109","0.011"
"28","28","34","0.051","0.001"
"29","29","32.3","0.07","0.009"
"30","30","31.1","0.024","0.003"
"31","31","22.3","0.077","0.006"
"32","32","34.4","0.017","0.001"
