"rank","item","obs","au","np"
"1","1","1.7","0.51","0.139"
"2","2","1.7","0.685","0.256"
"3","3","7.1","0.364","0.049"
"4","4","1.7","0.687","0.256"
"5","5","1.7","0.686","0.257"
"6","6","2.5","0.566","0.103"
"7","7","1.7","0.688","0.256"
"8","8","6.4","0.439","0.089"
"9","9","1.7","0.512","0.139"
"10","10","0","0.753","0.301"
"11","11","1.7","0.686","0.256"
"12","12","7.1","0.365","0.049"
"13","13","1.7","0.687","0.256"
"14","14","-0","0.751","0.301"
"15","15","2.5","0.565","0.103"
"16","16","1.7","0.508","0.14"
"17","17","38.3","0.048","0.008"
"18","18","25.1","0.05","0.006"
"19","19","28.6","0.024","0.001"
"20","20","38.2","0.004","0.003"
"21","21","35.6","0.03","0.006"
"22","22","49.2","0.001","0.0001"
"23","23","35.3","0.012","0.002"
"24","24","47.5","0.023","0.009"
"25","25","50","0.001","0.001"
"26","26","27.9","0.044","0.005"
"27","27","27.1","0.094","0.012"
"28","28","34","0.004","0.0002"
"29","29","32.3","0.047","0.007"
"30","30","31.1","0.028","0.003"
"31","31","22.3","0.084","0.007"
"32","32","34.4","0.007","0.001"
