"rank","item","obs","au","np"
"1","1","1.7","0.497","0.147"
"2","2","1.7","0.675","0.247"
"3","3","7.1","0.4","0.052"
"4","4","1.7","0.676","0.246"
"5","5","1.7","0.677","0.246"
"6","6","2.5","0.578","0.096"
"7","7","1.7","0.675","0.247"
"8","8","6.4","0.437","0.09"
"9","9","1.7","0.498","0.146"
"10","10","0","0.756","0.309"
"11","11","1.7","0.676","0.246"
"12","12","7.1","0.401","0.051"
"13","13","1.7","0.676","0.246"
"14","14","-0","0.758","0.307"
"15","15","2.5","0.574","0.096"
"16","16","1.7","0.495","0.148"
"17","17","38.3","0.054","0.007"
"18","18","25.1","0.039","0.005"
"19","19","28.6","0.017","0.001"
"20","20","38.2","0.003","0.003"
"21","21","35.6","0.02","0.004"
"22","22","49.2","0.018","0.001"
"23","23","35.3","0.016","0.003"
"24","24","47.5","0.036","0.011"
"25","25","50","0.005","0.001"
"26","26","27.9","0.037","0.004"
"27","27","27.1","0.092","0.01"
"28","28","34","0.05","0.001"
"29","29","32.3","0.05","0.007"
"30","30","31.1","0.028","0.003"
"31","31","22.3","0.059","0.007"
"32","32","34.4","0.017","0.001"
