"rank","item","obs","au","np"
"1","1","1.7","0.501","0.054"
"2","2","1.7","0.676","0.244"
"3","3","7.1","0.369","0.05"
"4","4","1.7","0.676","0.244"
"5","5","1.7","0.679","0.244"
"6","6","2.5","0.568","0.095"
"7","7","1.7","0.679","0.244"
"8","8","6.4","0.426","0.086"
"9","9","1.7","0.516","0.149"
"10","10","0","0.753","0.309"
"11","11","1.7","0.674","0.244"
"12","12","7.1","0.368","0.05"
"13","13","1.7","0.676","0.244"
"14","14","-0","0.754","0.308"
"15","15","2.5","0.57","0.094"
"16","16","1.7","0.515","0.15"
"17","17","38.3","0.044","0.006"
"18","18","25.1","0.074","0.007"
"19","19","28.6","0.004","0.0002"
"20","20","38.2","0.007","0.003"
"21","21","35.6","0.023","0.005"
"22","22","49.2","0.006","0.001"
"23","23","35.3","0.017","0.002"
"24","24","47.5","0.037","0.011"
"25","25","50","0.014","0.002"
"26","26","27.9","0.024","0.004"
"27","27","27.1","0.121","0.013"
"28","28","34","0.059","0.001"
"29","29","32.3","0.068","0.007"
"30","30","31.1","0.047","0.004"
"31","31","22.3","0.068","0.007"
"32","32","34.4","0.011","0.001"
