"rank","item","obs","au","np"
"1","1","1.7","0.516","0.14"
"2","2","1.7","0.681","0.256"
"3","3","7.1","0.349","0.047"
"4","4","1.7","0.68","0.256"
"5","5","1.7","0.682","0.256"
"6","6","2.5","0.572","0.097"
"7","7","1.7","0.681","0.257"
"8","8","6.4","0.442","0.092"
"9","9","1.7","0.515","0.14"
"10","10","0","0.751","0.307"
"11","11","1.7","0.681","0.256"
"12","12","7.1","0.346","0.047"
"13","13","1.7","0.682","0.256"
"14","14","-0","0.751","0.306"
"15","15","2.5","0.57","0.097"
"16","16","1.7","0.515","0.14"
"17","17","38.3","0.036","0.006"
"18","18","25.1","0.073","0.007"
"19","19","28.6","0.025","0.001"
"20","20","38.2","0.002","0.003"
"21","21","35.6","0.021","0.005"
"22","22","49.2","0.01","0.001"
"23","23","35.3","0.026","0.003"
"24","24","47.5","0.027","0.009"
"25","25","50","0.01","0.002"
"26","26","27.9","0.032","0.004"
"27","27","27.1","0.065","0.009"
"28","28","34","0.022","0.001"
"29","29","32.3","0.063","0.008"
"30","30","31.1","0.044","0.003"
"31","31","22.3","0.06","0.007"
"32","32","34.4","0.006","0.001"
