"rank","item","obs","au","np"
"1","1","1.7","0.516","0.14"
"2","2","1.7","0.664","0.253"
"3","3","7.1","0.33","0.048"
"4","4","1.7","0.665","0.253"
"5","5","1.7","0.664","0.253"
"6","6","2.5","0.581","0.094"
"7","7","1.7","0.663","0.254"
"8","8","6.4","0.448","0.088"
"9","9","1.7","0.517","0.14"
"10","10","0","0.757","0.313"
"11","11","1.7","0.663","0.253"
"12","12","7.1","0.33","0.048"
"13","13","1.7","0.665","0.253"
"14","14","-0","0.758","0.311"
"15","15","2.5","0.584","0.094"
"16","16","1.7","0.515","0.14"
"17","17","38.3","0.04","0.007"
"18","18","25.1","0.07","0.008"
"19","19","28.6","0.045","0.001"
"20","20","38.2","0.006","0.003"
"21","21","35.6","0.038","0.005"
"22","22","49.2","0.0001","0.0001"
"23","23","35.3","0.016","0.002"
"24","24","47.5","0.032","0.01"
"25","25","50","0.005","0.001"
"26","26","27.9","0.031","0.004"
"27","27","27.1","0.102","0.01"
"28","28","34","0.005","0.0003"
"29","29","32.3","0.048","0.007"
"30","30","31.1","0.045","0.004"
"31","31","22.3","0.086","0.007"
"32","32","34.4","0.014","0.001"
