"rank","item","obs","au","np"
"1","1","1.7","0.519","0.146"
"2","2","1.7","0.675","0.252"
"3","3","7.1","0.354","0.049"
"4","4","1.7","0.674","0.252"
"5","5","1.7","0.675","0.252"
"6","6","2.5","0.564","0.098"
"7","7","1.7","0.675","0.252"
"8","8","6.4","0.431","0.092"
"9","9","1.7","0.517","0.146"
"10","10","0","0.749","0.304"
"11","11","1.7","0.674","0.251"
"12","12","7.1","0.352","0.049"
"13","13","1.7","0.674","0.252"
"14","14","-0","0.748","0.303"
"15","15","2.5","0.566","0.097"
"16","16","1.7","0.516","0.146"
"17","17","38.3","0.032","0.005"
"18","18","25.1","0.068","0.008"
"19","19","28.6","0.023","0.001"
"20","20","38.2","0.006","0.003"
"21","21","35.6","0.02","0.005"
"22","22","49.2","0.0004","0.0001"
"23","23","35.3","0.014","0.002"
"24","24","47.5","0.039","0.011"
"25","25","50","0.004","0.001"
"26","26","27.9","0.031","0.004"
"27","27","27.1","0.09","0.01"
"28","28","34","0.035","0.001"
"29","29","32.3","0.06","0.007"
"30","30","31.1","0.056","0.004"
"31","31","22.3","0.079","0.007"
"32","32","34.4","0.018","0.001"
