"rank","item","obs","au","np"
"1","1","1.7","0.508","0.148"
"2","2","1.7","0.678","0.245"
"3","3","7.1","0.395","0.048"
"4","4","1.7","0.675","0.246"
"5","5","1.7","0.676","0.246"
"6","6","2.5","0.561","0.1"
"7","7","1.7","0.676","0.247"
"8","8","6.4","0.431","0.09"
"9","9","1.7","0.509","0.148"
"10","10","0","0.75","0.307"
"11","11","1.7","0.674","0.246"
"12","12","7.1","0.395","0.048"
"13","13","1.7","0.676","0.246"
"14","14","-0","0.749","0.307"
"15","15","2.5","0.558","0.1"
"16","16","1.7","0.51","0.148"
"17","17","38.3","0.046","0.007"
"18","18","25.1","0.061","0.006"
"19","19","28.6","0.031","0.001"
"20","20","38.2","0.009","0.004"
"21","21","35.6","0.02","0.005"
"22","22","49.2","0.005","0.0003"
"23","23","35.3","0.018","0.003"
"24","24","47.5","0.023","0.009"
"25","25","50","0.014","0.001"
"26","26","27.9","0.04","0.005"
"27","27","27.1","0.115","0.013"
"28","28","34","0.026","0.001"
"29","29","32.3","0.044","0.007"
"30","30","31.1","0.042","0.004"
"31","31","22.3","0.054","0.005"
"32","32","34.4","0.022","0.002"
