"rank","item","obs","au","np"
"1","1","1.7","0.504","0.142"
"2","2","1.7","0.671","0.25"
"3","3","7.1","0.359","0.048"
"4","4","1.7","0.67","0.25"
"5","5","1.7","0.673","0.25"
"6","6","2.5","0.577","0.096"
"7","7","1.7","0.674","0.25"
"8","8","6.4","0.412","0.085"
"9","9","1.7","0.504","0.142"
"10","10","0","0.76","0.314"
"11","11","1.7","0.672","0.25"
"12","12","7.1","0.358","0.048"
"13","13","1.7","0.672","0.25"
"14","14","-0","0.762","0.313"
"15","15","2.5","0.578","0.096"
"16","16","1.7","0.503","0.143"
"17","17","38.3","0.034","0.005"
"18","18","25.1","0.072","0.008"
"19","19","28.6","0.02","0.001"
"20","20","38.2","0.007","0.004"
"21","21","35.6","0.028","0.006"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.014","0.003"
"24","24","47.5","0.025","0.01"
"25","25","50","0.008","0.001"
"26","26","27.9","0.037","0.004"
"27","27","27.1","0.11","0.012"
"28","28","34","0.002","0.0002"
"29","29","32.3","0.055","0.008"
"30","30","31.1","0.065","0.004"
"31","31","22.3","0.1","0.008"
"32","32","34.4","0.03","0.001"
