"rank","item","obs","au","np"
"1","1","1.7","0.499","0.137"
"2","2","1.7","0.68","0.252"
"3","3","7.1","0.403","0.017"
"4","4","1.7","0.676","0.253"
"5","5","1.7","0.679","0.252"
"6","6","2.5","0.549","0.098"
"7","7","1.7","0.68","0.252"
"8","8","6.4","0.445","0.09"
"9","9","1.7","0.499","0.137"
"10","10","0","0.748","0.308"
"11","11","1.7","0.676","0.252"
"12","12","7.1","0.421","0.054"
"13","13","1.7","0.679","0.252"
"14","14","-0","0.748","0.307"
"15","15","2.5","0.548","0.098"
"16","16","1.7","0.498","0.138"
"17","17","38.3","0.028","0.005"
"18","18","25.1","0.051","0.007"
"19","19","28.6","0.005","0.0002"
"20","20","38.2","0.004","0.003"
"21","21","35.6","0.016","0.004"
"22","22","49.2","0.008","0.0004"
"23","23","35.3","0.03","0.002"
"24","24","47.5","0.025","0.01"
"25","25","50","0.003","0.001"
"26","26","27.9","0.045","0.005"
"27","27","27.1","0.109","0.01"
"28","28","34","0.007","0.0003"
"29","29","32.3","0.063","0.008"
"30","30","31.1","0.045","0.003"
"31","31","22.3","0.08","0.008"
"32","32","34.4","0.041","0.002"
