"rank","item","obs","au","np"
"1","1","1.7","0.511","0.141"
"2","2","1.7","0.675","0.259"
"3","3","7.1","0.4","0.049"
"4","4","1.7","0.675","0.259"
"5","5","1.7","0.674","0.26"
"6","6","2.5","0.572","0.097"
"7","7","1.7","0.676","0.259"
"8","8","6.4","0.432","0.087"
"9","9","1.7","0.509","0.141"
"10","10","0","0.735","0.306"
"11","11","1.7","0.674","0.259"
"12","12","7.1","0.395","0.049"
"13","13","1.7","0.673","0.26"
"14","14","-0","0.736","0.305"
"15","15","2.5","0.573","0.097"
"16","16","1.7","0.509","0.142"
"17","17","38.3","0.029","0.005"
"18","18","25.1","0.07","0.007"
"19","19","28.6","0.017","0.0004"
"20","20","38.2","0.004","0.003"
"21","21","35.6","0.028","0.005"
"22","22","49.2","0.001","0.0002"
"23","23","35.3","0.011","0.002"
"24","24","47.5","0.03","0.01"
"25","25","50","0.006","0.001"
"26","26","27.9","0.01","0.003"
"27","27","27.1","0.104","0.011"
"28","28","34","0.047","0.001"
"29","29","32.3","0.067","0.008"
"30","30","31.1","0.038","0.004"
"31","31","22.3","0.083","0.006"
"32","32","34.4","0.018","0.001"
